year,wdi_gini,wdi_gdp_pc_usd,wdi_gdp_growth,wdi_trade_gdp,wdi_fdi_gdp,wdi_unemployment,wid_top1_inc,wid_top10_inc,wid_bottom50_inc,wid_top10_disp,wid_bottom50_disp,wid_top10_wealth,wid_top1_wealth,wiid_gini,wiid_palma,wiid_top5,wgi_va,wgi_pv,wgi_ge,wgi_rq,wgi_rl,wgi_cc,wgi_avg,log_gdp_pc,year_t,gear_era,d_wdi_trade_gdp,d_wdi_fdi_gdp,d_wdi_unemployment,d_wid_top1_inc,d_wid_top10_inc,d_wid_top10_wealth,d_wgi_avg
2000,57.8,4700.87555500704,4.20000000067826,46.2207217354077,0.638427514423676,22.788,0.1546,0.5358,0.1025,0.4842,0.1413,0.8365,0.4919,67.0,,,0.6502765432098765,0.5101894,0.5512994397901533,0.544570313418079,0.5586507925925925,0.5042301555555556,0.5532027740943762,8.45550405864801,10,1,3.962425718140402,-0.353760081866876,-0.09600000000000009,0.0068999999999999895,0.010199999999999987,-0.0041999999999999815,
2001,,4786.482450463,2.70000000019104,49.170945185829,5.36834529785161,22.652,0.1619,0.5473,0.102,0.4876,0.1446,0.8304,0.5022,57.77,5.19,,0.67072,,,,0.84,0.433,0.6479066666666667,8.47355106791421,11,1,2.950223450421298,4.729917783427934,-0.13599999999999923,0.007300000000000001,0.011499999999999955,-0.006099999999999994,0.0947038925722905
2002,,4916.81498068625,3.70037440406668,53.4655016294369,1.14635726911695,22.579,0.1692,0.5589000000000001,0.1016,0.5034000000000001,0.1431,0.8263,0.4951,,,,0.6832945668949771,0.5798572519025875,0.5567835566463724,0.6114552775848908,0.6283422443835617,0.5610734680821918,0.6034677275824302,8.50041623820819,12,1,4.2945564436079025,-4.22198802873466,-0.0730000000000004,0.007300000000000001,0.011600000000000055,-0.0040999999999999925,-0.04443893908423657
2003,,5011.62223150169,2.94907546754213,45.723862568979,0.397492744432543,22.679,0.1724,0.5711,0.1008,0.5161,0.1425,0.8247,0.4973,,,,0.6847796683181524,0.5407081545454545,0.5371163345474075,0.5981690791344554,0.5960250493506494,0.43946003658008664,0.5660430537460343,8.519514940370357,13,1,-7.741639060457899,-0.7488645246844069,0.09999999999999787,0.0032000000000000084,0.012199999999999989,-0.0016000000000000458,-0.037424673836395916
2004,,5187.35683424034,4.55455990721774,45.6435752240041,0.274199790569949,22.567,0.1744,0.5737,0.1046,0.5115000000000001,0.148,0.8172,0.4863,,,,0.7090654599149787,0.6427834073529411,0.607695111992704,0.5755892687810268,0.6301112646511629,0.559347333255814,0.6207653076581044,8.553979565939386,14,1,-0.08028734497489864,-0.12329295386259403,-0.11199999999999832,0.0020000000000000018,0.0025999999999999357,-0.007499999999999951,0.054722253912070196
2005,65.0,5406.07581377638,5.27705197295467,47.4277813970329,2.25781874505445,22.472,0.1834,0.5906,0.1016,0.5225000000000001,0.1479,0.8312,0.507,64.76,7.43,,0.6879892054133908,0.5489792824390244,0.5799743359585009,0.5475939102955937,0.6616977495289371,0.5741829483684531,0.60006957200065,8.595278750744047,15,1,1.7842061730287995,1.983618954484501,-0.09499999999999886,0.009000000000000008,0.016900000000000026,0.014000000000000012,-0.020695735657454417
2006,,5650.9883176549,5.60380645895889,53.7681412741145,0.205125538574008,22.304,0.1934,0.6007,0.0937,0.5282,0.142,0.8517,0.5172,,,,0.7035825336515458,0.5904945083333334,0.5642481272727272,0.5963830166666667,0.711817853015873,0.6171020185030973,0.6306046762405405,8.639585732321903,16,1,6.340359877081596,-2.052693206480442,-0.1680000000000028,0.009999999999999981,0.010099999999999998,0.020499999999999963,0.030535104239890476
2007,,5891.42069421698,5.36047405394162,57.125139137747,1.97755772219349,22.26,0.2033,0.6197,0.0816,0.5419,0.1321,0.8835000000000001,0.515,,,,0.6630957824059697,0.5783746193650794,0.4971385995318558,0.5436295598106637,0.558630268376856,0.5439881616132465,0.5641428318506118,8.681252452011616,17,1,3.3569978636325004,1.7724321836194818,-0.04399999999999693,0.00990000000000002,0.019000000000000017,0.03180000000000005,-0.06646184438992875
2008,62.5,6009.71963138635,3.1910438863288,65.9745237996233,3.12686614310453,22.407,0.1976,0.6006,0.0874,0.5174,0.1409,0.9083,0.4963,69.72,12.61,39.39,0.6341362055555555,0.5556287134615384,0.5394995859960552,0.544001086013986,0.6435721193548387,0.5765268090909091,0.5822274199121472,8.701133376089404,18,1,8.8493846618763,1.1493084209110402,0.14699999999999847,-0.005700000000000011,-0.019100000000000006,0.024799999999999933,0.018084588061535456
2009,,5847.05811084505,-1.53808913525583,49.5875353278801,2.31217470344994,23.523,0.1858,0.5929,0.0899,0.5139,0.1426,0.8982,0.5284,63.01,6.86,,0.6575849992233257,0.5406516100000001,0.5400103295918368,0.5600005925170067,0.5469041202226346,0.38180146209912535,0.5378255189423216,8.673693926700775,19,1,-16.3869884717432,-0.8146914396545903,1.1159999999999997,-0.011800000000000005,-0.00770000000000004,-0.010099999999999998,-0.04440190096982566
